topic,coefficient,abs_coefficient,odds_ratio
topic_8,2.3513085553191755,2.3513085553191755,10.499299653992272
topic_7,-0.9980742496022292,0.9980742496022292,0.36858856773283827
topic_4,-0.7399862516997946,0.7399862516997946,0.4771204750714684
topic_2,-0.6924094553185064,0.6924094553185064,0.5003689987138168
topic_5,-0.46746531481230663,0.46746531481230663,0.6265884616756154
topic_6,0.38321414961504846,0.38321414961504846,1.466992152237308
topic_9,-0.2943937275851956,0.2943937275851956,0.7449831132893356
topic_0,0.16924061001828858,0.16924061001828858,1.1844050843712417
topic_3,0.09614421341530732,0.09614421341530732,1.1009178196651015
topic_1,0.0961131353463388,0.0961131353463388,1.1008836057968265
